Name,Price,Price / KG,URL
Woolworths Beef T Bone Steak Medium 250g - 700g,,,https://www.woolworths.com.au/shop/productdetails/675651
Woolworths Chicken RSPCA Approved Leg Fillet Min. 120g,12.0,$12.00 / 1KG,https://www.woolworths.com.au/shop/productdetails/6018432
Macro Grass Fed Beef Mince 800g,15.0,$18.75 / 1KG,https://www.woolworths.com.au/shop/productdetails/6001987
Woolworths 6 Smash Beef Burgers 450g,8.5,$18.89 / 1KG,https://www.woolworths.com.au/shop/productdetails/899861
Woolworths Shortcut Australian Bacon 200g,5.5,$27.50 / 1KG,https://www.woolworths.com.au/shop/productdetails/55373
Woolworths 18 Chicken Burgers 1.5kg,12.5,$8.33 / 1KG,https://www.woolworths.com.au/shop/productdetails/6001634
Woolworths RSPCA Approved Chicken Hearts 500g,3.75,$7.50 / 1KG,https://www.woolworths.com.au/shop/productdetails/83198
Macro Grass Fed Beef Rump Steak Medallions 300g,,,https://www.woolworths.com.au/shop/productdetails/175571
Macro Free Range Chicken Splits Lemon & Garlic 900g - 1.35kg,,,https://www.woolworths.com.au/shop/productdetails/727221
Primo Roast Pork Sliced From The Deli,28.5,$28.50 / 1KG,https://www.woolworths.com.au/shop/productdetails/867292
Market Value 12 Thin BBQ Sausages 740g,6.6,$8.92 / 1KG,https://www.woolworths.com.au/shop/productdetails/901648
Lamb Leg Roast 1.8kg - 2.8kg,42.0,$15.00 / 1KG,https://www.woolworths.com.au/shop/productdetails/764979
Woolworths Cracked Black Pepper Wagyu Beef Sausages 450g,9.0,$20.00 / 1KG,https://www.woolworths.com.au/shop/productdetails/260670
Bertocchi Mortadella Plain Shaved From The Deli,13.5,$13.50 / 1KG,https://www.woolworths.com.au/shop/productdetails/227743
Woolworths Lamb Cutlets 6 - 10 Pieces 500g - 900g,,,https://www.woolworths.com.au/shop/productdetails/765046
Woolworths Lamb Extra Trim Cutlets 8-9 Pieces 250g - 600g,33.0,$55.00 / 1KG,https://www.woolworths.com.au/shop/productdetails/764944
Macro Grass Fed Australian Beef Sausage 500g,9.0,$18.00 / 1KG,https://www.woolworths.com.au/shop/productdetails/175566
